split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active,Morphology,0,0,0_0,0.7548579124274284
chemical,is_active,PhysChem,0,0,0_0,0.5971370287796652
chemical,is_active,LogP,0,0,0_0,0.6265320673147655
chemical,is_active,MorganFP,0,0,0_0,0.5233502337003881
chemical,is_active,CLOOME,0,0,0_0,0.6830912393476761
chemical,is_active,CellCLIP,0,0,0_0,0.594551046276072
chemical,is_active,MLP_CLOOME_arch,0,0,0_0,0.5202677086044749
chemical,is_active,Morphology,0,1,0_1,0.7786067989387935
chemical,is_active,PhysChem,0,1,0_1,0.6051199203426868
chemical,is_active,LogP,0,1,0_1,0.6269104055706658
chemical,is_active,MorganFP,0,1,0_1,0.5570081060671874
chemical,is_active,CLOOME,0,1,0_1,0.7121176682860981
chemical,is_active,CellCLIP,0,1,0_1,0.6343715960198074
chemical,is_active,MLP_CLOOME_arch,0,1,0_1,0.5727507835419436
chemical,is_active,Morphology,0,2,0_2,0.7566885021725225
chemical,is_active,PhysChem,0,2,0_2,0.6935497033459053
chemical,is_active,LogP,0,2,0_2,0.6440161891528264
chemical,is_active,MorganFP,0,2,0_2,0.5194832263614108
chemical,is_active,CLOOME,0,2,0_2,0.6950704691325349
chemical,is_active,CellCLIP,0,2,0_2,0.6815059882220604
chemical,is_active,MLP_CLOOME_arch,0,2,0_2,0.5673636383687334
chemical,is_active,Morphology,0,3,0_3,0.7342911877394636
chemical,is_active,PhysChem,0,3,0_3,0.5896157313500112
chemical,is_active,LogP,0,3,0_3,0.583643227405905
chemical,is_active,MorganFP,0,3,0_3,0.5050385958981294
chemical,is_active,CLOOME,0,3,0_3,0.6967263917061077
chemical,is_active,CellCLIP,0,3,0_3,0.5776566373675907
chemical,is_active,MLP_CLOOME_arch,0,3,0_3,0.5216137029524454
chemical,is_active,Morphology,0,4,0_4,0.7682866670613075
chemical,is_active,PhysChem,0,4,0_4,0.5991253069036766
chemical,is_active,LogP,0,4,0_4,0.601846918842124
chemical,is_active,MorganFP,0,4,0_4,0.5782008890692961
chemical,is_active,CLOOME,0,4,0_4,0.7164054990373583
chemical,is_active,CellCLIP,0,4,0_4,0.6306416013395235
chemical,is_active,MLP_CLOOME_arch,0,4,0_4,0.6062725332837214
chemical,is_active_and_toxic,Morphology,0,0,0_0,0.9834367435414251
chemical,is_active_and_toxic,PhysChem,0,0,0_0,0.6502626480817815
chemical,is_active_and_toxic,LogP,0,0,0_0,0.5930370879483994
chemical,is_active_and_toxic,MorganFP,0,0,0_0,0.5934203917629333
chemical,is_active_and_toxic,CLOOME,0,0,0_0,0.8762872777121105
chemical,is_active_and_toxic,CellCLIP,0,0,0_0,0.7678104100029077
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,0,0_0,0.4761105425542762
chemical,is_active_and_toxic,Morphology,0,1,0_1,0.9692291770160624
chemical,is_active_and_toxic,PhysChem,0,1,0_1,0.6214874151349562
chemical,is_active_and_toxic,LogP,0,1,0_1,0.5679748302699124
chemical,is_active_and_toxic,MorganFP,0,1,0_1,0.5766082960755091
chemical,is_active_and_toxic,CLOOME,0,1,0_1,0.8637129491637688
chemical,is_active_and_toxic,CellCLIP,0,1,0_1,0.7546592978970029
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,1,0_1,0.4805079483358172
chemical,is_active_and_toxic,Morphology,0,2,0_2,0.9648576726133864
chemical,is_active_and_toxic,PhysChem,0,2,0_2,0.6605542265901951
chemical,is_active_and_toxic,LogP,0,2,0_2,0.5411274749978384
chemical,is_active_and_toxic,MorganFP,0,2,0_2,0.6180577571547972
chemical,is_active_and_toxic,CLOOME,0,2,0_2,0.9008799992314419
chemical,is_active_and_toxic,CellCLIP,0,2,0_2,0.7892421054654101
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,2,0_2,0.5607401216243479
chemical,is_active_and_toxic,Morphology,0,3,0_3,0.9729958636298142
chemical,is_active_and_toxic,PhysChem,0,3,0_3,0.6874984624792215
chemical,is_active_and_toxic,LogP,0,3,0_3,0.6193203982442391
chemical,is_active_and_toxic,MorganFP,0,3,0_3,0.5871976355566177
chemical,is_active_and_toxic,CLOOME,0,3,0_3,0.9150163943644154
chemical,is_active_and_toxic,CellCLIP,0,3,0_3,0.7884406552122832
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,3,0_3,0.554523122555342
chemical,is_active_and_toxic,Morphology,0,4,0_4,0.9780952261401152
chemical,is_active_and_toxic,PhysChem,0,4,0_4,0.7199159793965412
chemical,is_active_and_toxic,LogP,0,4,0_4,0.6027411303449113
chemical,is_active_and_toxic,MorganFP,0,4,0_4,0.5569921628192093
chemical,is_active_and_toxic,CLOOME,0,4,0_4,0.8873692931473833
chemical,is_active_and_toxic,CellCLIP,0,4,0_4,0.8028382059425329
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,4,0_4,0.5436421759997322
chemical,is_active_not_toxic,Morphology,0,0,0_0,0.7843007186290768
chemical,is_active_not_toxic,PhysChem,0,0,0_0,0.5507023963077031
chemical,is_active_not_toxic,LogP,0,0,0_0,0.5352479226442742
chemical,is_active_not_toxic,MorganFP,0,0,0_0,0.5158809128958384
chemical,is_active_not_toxic,CLOOME,0,0,0_0,0.6906964296682374
chemical,is_active_not_toxic,CellCLIP,0,0,0_0,0.6347328612668579
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,0,0_0,0.49262154834294136
chemical,is_active_not_toxic,Morphology,0,1,0_1,0.7447235643140534
chemical,is_active_not_toxic,PhysChem,0,1,0_1,0.5346738617762117
chemical,is_active_not_toxic,LogP,0,1,0_1,0.5427307065766683
chemical,is_active_not_toxic,MorganFP,0,1,0_1,0.5141299479589856
chemical,is_active_not_toxic,CLOOME,0,1,0_1,0.71353561817036
chemical,is_active_not_toxic,CellCLIP,0,1,0_1,0.5953771487231521
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,1,0_1,0.4992201774864151
chemical,is_active_not_toxic,Morphology,0,2,0_2,0.7702782943460246
chemical,is_active_not_toxic,PhysChem,0,2,0_2,0.5590535382206127
chemical,is_active_not_toxic,LogP,0,2,0_2,0.5925475514665101
chemical,is_active_not_toxic,MorganFP,0,2,0_2,0.49782388829075724
chemical,is_active_not_toxic,CLOOME,0,2,0_2,0.7006182506280383
chemical,is_active_not_toxic,CellCLIP,0,2,0_2,0.6360037192913771
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,2,0_2,0.5011639098234968
chemical,is_active_not_toxic,Morphology,0,3,0_3,0.7938540094925426
chemical,is_active_not_toxic,PhysChem,0,3,0_3,0.5259980433669633
chemical,is_active_not_toxic,LogP,0,3,0_3,0.49279779937921675
chemical,is_active_not_toxic,MorganFP,0,3,0_3,0.4917806205466745
chemical,is_active_not_toxic,CLOOME,0,3,0_3,0.7320257572659855
chemical,is_active_not_toxic,CellCLIP,0,3,0_3,0.6198268768385677
