group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,target,n_cycles
CLOOME,CellCLIP,-0.0019390796925294884,-0.016119926426136306,0.012241767041077328,0.9,False,-0.1058424778896563,True,0.717860836497916,168.0,is_active,25
CLOOME,CellCount,0.04270453354902981,0.028523686815422993,0.05688538028263663,0.001,True,2.3021029911052504,True,0.717860836497916,168.0,is_active,25
CLOOME,LogP,0.01546290732716904,0.0012820605935622235,0.029643754060775858,0.02203926313824167,True,0.7932265485742225,True,0.717860836497916,168.0,is_active,25
CLOOME,MLP_CLOOME_arch,0.03029310094934523,0.016112254215738413,0.04447394768295205,0.001,True,1.3653743163174452,True,0.717860836497916,168.0,is_active,25
CLOOME,MorganFP,0.0539303158403045,0.03974946910669768,0.06811116257391131,0.001,True,2.8633045823898753,True,0.717860836497916,168.0,is_active,25
CLOOME,Morphology,-0.14633038254411734,-0.16051122927772415,-0.13214953581051053,0.001,True,-8.790470462361261,True,0.717860836497916,168.0,is_active,25
CLOOME,PhysChem,-0.013577909347558648,-0.027758756081165466,0.0006029373860481687,0.07162138589206268,False,-0.649171508972963,True,0.717860836497916,168.0,is_active,25
CellCLIP,CellCount,0.0446436132415593,0.03046276650795248,0.05882445997516612,0.001,True,2.799309025397648,True,0.717860836497916,168.0,is_active,25
CellCLIP,LogP,0.017401987019698528,0.003221140286091712,0.031582833753305346,0.0054931617948014155,True,1.021467614269794,True,0.717860836497916,168.0,is_active,25
CellCLIP,MLP_CLOOME_arch,0.03223218064187472,0.0180513339082679,0.04641302737548154,0.001,True,1.6066391902669375,True,0.717860836497916,168.0,is_active,25
CellCLIP,MorganFP,0.05586939553283399,0.04168854879922717,0.0700502422664408,0.001,True,3.432111853110614,True,0.717860836497916,168.0,is_active,25
CellCLIP,Morphology,-0.14439130285158785,-0.15857214958519467,-0.13021045611798104,0.001,True,-10.549473094994473,True,0.717860836497916,168.0,is_active,25
CellCLIP,PhysChem,-0.01163882965502916,-0.025819676388635977,0.002542017078577657,0.1944779030824213,False,-0.6241767107987388,True,0.717860836497916,168.0,is_active,25
CellCount,LogP,-0.02724162622186077,-0.04142247295546759,-0.013060779488253954,0.001,True,-1.576196642050858,True,0.717860836497916,168.0,is_active,25
CellCount,MLP_CLOOME_arch,-0.01241143259968458,-0.026592279333291398,0.0017694141339222366,0.13363268094257164,False,-0.6122471264858578,True,0.717860836497916,168.0,is_active,25
CellCount,MorganFP,0.011225782291274689,-0.002955064442332128,0.025406629024881507,0.23402761927056526,False,0.6788434603368214,True,0.717860836497916,168.0,is_active,25
CellCount,Morphology,-0.18903491609314715,-0.20321576282675397,-0.17485406935954034,0.001,True,-13.509096025914042,True,0.717860836497916,168.0,is_active,25
CellCount,PhysChem,-0.05628244289658846,-0.07046328963019527,-0.04210159616298164,0.001,True,-2.9822438824174067,True,0.717860836497916,168.0,is_active,25
LogP,MLP_CLOOME_arch,0.014830193622176191,0.0006493468885693746,0.02901104035578301,0.033395579120272356,True,0.7015664982943343,True,0.717860836497916,168.0,is_active,25
LogP,MorganFP,0.03846740851313546,0.02428656177952864,0.05264825524674228,0.001,True,2.187086006836976,True,0.717860836497916,168.0,is_active,25
LogP,Morphology,-0.16179328987128638,-0.1759741366048932,-0.14761244313767957,0.001,True,-10.629095894042637,True,0.717860836497916,168.0,is_active,25
LogP,PhysChem,-0.029040816674727687,-0.043221663408334506,-0.014859969941120871,0.001,True,-1.466661902342835,True,0.717860836497916,168.0,is_active,25
MLP_CLOOME_arch,MorganFP,0.02363721489095927,0.009456368157352452,0.037818061624566086,0.001,True,1.1511911386089322,True,0.717860836497916,168.0,is_active,25
