target,representation,best_C,test_auc,test_auc_ci_lo,test_auc_ci_hi
is_active,Morphology,0.01,0.7728452084455164,0.743538620252039,0.8003677383838358
is_active,PhysChem,100.0,0.6399971407161769,0.5990007927651961,0.6799338552151836
is_active,LogP,0.01,0.6124081261707393,0.5752771459822358,0.6510048544240327
is_active,MorganFP,0.01,0.5748231969942181,0.5337524769159482,0.613597953536012
is_active,CLOOME,0.01,0.6290245781556948,0.591915414958576,0.6660141948712645
is_active,CellCLIP,0.01,0.6308329510080589,0.5926305642051604,0.6715211153430473
is_active,CellCount,0.01,0.5795533012387106,0.5417317096683362,0.617200503108792
is_active,MLP_CLOOME_arch,,0.5975931212919463,0.5537104116596954,0.640365857428993
is_active_and_toxic,Morphology,1.0,0.9496059745693864,0.9173126774559175,0.9753777113694563
is_active_and_toxic,PhysChem,0.01,0.7057237028358389,0.6539775955416299,0.7567467884825914
is_active_and_toxic,LogP,0.01,0.5654353381410399,0.5063662800186047,0.6219367950962628
is_active_and_toxic,MorganFP,0.01,0.5809244765249898,0.5167111266250534,0.6437955598212918
is_active_and_toxic,CLOOME,0.01,0.6887476365323603,0.638453968661131,0.7410204100086897
is_active_and_toxic,CellCLIP,0.01,0.6652811615365698,0.6079663767623156,0.7260982727005728
is_active_and_toxic,CellCount,0.01,0.9865001210160865,0.968103043418739,0.9965689647206022
is_active_and_toxic,MLP_CLOOME_arch,,0.5778758757780803,0.5169482631923517,0.6413029163551848
is_active_not_toxic,Morphology,0.01,0.763546722114143,0.7337284874447882,0.7928458273217767
is_active_not_toxic,PhysChem,100.0,0.5684886297350572,0.5324391875015339,0.6034148878951866
is_active_not_toxic,LogP,0.01,0.5510548577446704,0.5161002073854699,0.586453132578314
is_active_not_toxic,MorganFP,0.01,0.5276392223236244,0.4912559128171795,0.5644836016882229
is_active_not_toxic,CLOOME,0.01,0.5727499397361965,0.540901458745074,0.6069265806806945
is_active_not_toxic,CellCLIP,1.0,0.5645281229134352,0.529153684072738,0.5989484685905173
is_active_not_toxic,CellCount,0.01,0.6378534390957029,0.5984103481267076,0.6750355198269727
is_active_not_toxic,MLP_CLOOME_arch,,0.560846768756809,0.5252987223336013,0.5964328528146013
