split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active,Morphology,0,0,0_0,0.9434303121164992
chemical,is_active,PhysChem,0,0,0_0,0.8057433505750825
chemical,is_active,LogP,0,0,0_0,0.7184674292904858
chemical,is_active,MorganFP,0,0,0_0,0.7536736138941782
chemical,is_active,CLOOME,0,0,0_0,0.6835955588133303
chemical,is_active,CellCLIP,0,0,0_0,0.7375087991062808
chemical,is_active,CellCount,0,0,0_0,0.8507459773289339
chemical,is_active,MLP_CLOOME_arch,0,0,0_0,0.7524747551304759
chemical,is_active,Morphology,0,1,0_1,0.9430227212224082
chemical,is_active,PhysChem,0,1,0_1,0.800327430802002
chemical,is_active,LogP,0,1,0_1,0.721719846484625
chemical,is_active,MorganFP,0,1,0_1,0.7614392087172014
chemical,is_active,CLOOME,0,1,0_1,0.6687495872851859
chemical,is_active,CellCLIP,0,1,0_1,0.7465534419481052
chemical,is_active,CellCount,0,1,0_1,0.8492148762561585
chemical,is_active,MLP_CLOOME_arch,0,1,0_1,0.7461320056133369
chemical,is_active,Morphology,0,2,0_2,0.949218475825392
chemical,is_active,PhysChem,0,2,0_2,0.7937648346308551
chemical,is_active,LogP,0,2,0_2,0.7002507480910959
chemical,is_active,MorganFP,0,2,0_2,0.7649303615963983
chemical,is_active,CLOOME,0,2,0_2,0.6724004742928695
chemical,is_active,CellCLIP,0,2,0_2,0.7386135447577555
chemical,is_active,CellCount,0,2,0_2,0.8629549027222001
chemical,is_active,MLP_CLOOME_arch,0,2,0_2,0.7505725155173093
chemical,is_active,Morphology,0,3,0_3,0.9465851412266102
chemical,is_active,PhysChem,0,3,0_3,0.7902461790918844
chemical,is_active,LogP,0,3,0_3,0.6995282619310991
chemical,is_active,MorganFP,0,3,0_3,0.7618733826953803
chemical,is_active,CLOOME,0,3,0_3,0.6605333658870386
chemical,is_active,CellCLIP,0,3,0_3,0.7215865114718593
chemical,is_active,CellCount,0,3,0_3,0.8384667703070346
chemical,is_active,MLP_CLOOME_arch,0,3,0_3,0.7465818609425294
chemical,is_active,Morphology,0,4,0_4,0.9449961999609613
chemical,is_active,PhysChem,0,4,0_4,0.7927383953452636
chemical,is_active,LogP,0,4,0_4,0.7181580608587673
chemical,is_active,MorganFP,0,4,0_4,0.7604364022974663
chemical,is_active,CLOOME,0,4,0_4,0.6695245175196336
chemical,is_active,CellCLIP,0,4,0_4,0.7436707546503757
chemical,is_active,CellCount,0,4,0_4,0.8536065069958096
chemical,is_active,MLP_CLOOME_arch,0,4,0_4,0.7608390403136382
chemical,is_active_and_toxic,Morphology,0,0,0_0,0.9809483873486965
chemical,is_active_and_toxic,PhysChem,0,0,0_0,0.7316473165605863
chemical,is_active_and_toxic,LogP,0,0,0_0,0.611997396026084
chemical,is_active_and_toxic,MorganFP,0,0,0_0,0.7109626835618027
chemical,is_active_and_toxic,CLOOME,0,0,0_0,0.6220706021951943
chemical,is_active_and_toxic,CellCLIP,0,0,0_0,0.6773729936200308
chemical,is_active_and_toxic,CellCount,0,0,0_0,0.9821756295316753
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,0,0_0,0.6999310541373638
chemical,is_active_and_toxic,Morphology,0,1,0_1,0.9748714768693333
chemical,is_active_and_toxic,PhysChem,0,1,0_1,0.7431041024245282
chemical,is_active_and_toxic,LogP,0,1,0_1,0.6341802756552334
chemical,is_active_and_toxic,MorganFP,0,1,0_1,0.7158215310410825
chemical,is_active_and_toxic,CLOOME,0,1,0_1,0.6295931611299195
chemical,is_active_and_toxic,CellCLIP,0,1,0_1,0.6906548341656764
chemical,is_active_and_toxic,CellCount,0,1,0_1,0.9766161044247158
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,1,0_1,0.722126318378356
chemical,is_active_and_toxic,Morphology,0,2,0_2,0.9786934641406231
chemical,is_active_and_toxic,PhysChem,0,2,0_2,0.7431486312595048
chemical,is_active_and_toxic,LogP,0,2,0_2,0.6062569777201325
chemical,is_active_and_toxic,MorganFP,0,2,0_2,0.7083426558892242
chemical,is_active_and_toxic,CLOOME,0,2,0_2,0.6270388003829725
chemical,is_active_and_toxic,CellCLIP,0,2,0_2,0.681508743516328
chemical,is_active_and_toxic,CellCount,0,2,0_2,0.9822171063316526
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,2,0_2,0.6977586682733643
chemical,is_active_and_toxic,Morphology,0,3,0_3,0.9823788897810453
chemical,is_active_and_toxic,PhysChem,0,3,0_3,0.7314464227396728
chemical,is_active_and_toxic,LogP,0,3,0_3,0.597325249906078
chemical,is_active_and_toxic,MorganFP,0,3,0_3,0.7198710015641382
chemical,is_active_and_toxic,CLOOME,0,3,0_3,0.5993774140399211
chemical,is_active_and_toxic,CellCLIP,0,3,0_3,0.6637756505170005
chemical,is_active_and_toxic,CellCount,0,3,0_3,0.9829384313927705
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,3,0_3,0.716255926905388
chemical,is_active_and_toxic,Morphology,0,4,0_4,0.9783735943356935
chemical,is_active_and_toxic,PhysChem,0,4,0_4,0.7321243463371744
chemical,is_active_and_toxic,LogP,0,4,0_4,0.6296211937155815
chemical,is_active_and_toxic,MorganFP,0,4,0_4,0.704929514322736
chemical,is_active_and_toxic,CLOOME,0,4,0_4,0.6376772988106807
chemical,is_active_and_toxic,CellCLIP,0,4,0_4,0.6786070040261003
chemical,is_active_and_toxic,CellCount,0,4,0_4,0.983380188810218
chemical,is_active_and_toxic,MLP_CLOOME_arch,0,4,0_4,0.7047345724003887
chemical,is_active_not_toxic,Morphology,0,0,0_0,0.8644412791571655
chemical,is_active_not_toxic,PhysChem,0,0,0_0,0.7268095068715316
chemical,is_active_not_toxic,LogP,0,0,0_0,0.6767275693346122
chemical,is_active_not_toxic,MorganFP,0,0,0_0,0.668444891183987
chemical,is_active_not_toxic,CLOOME,0,0,0_0,0.6511395563516411
chemical,is_active_not_toxic,CellCLIP,0,0,0_0,0.6697700244118812
chemical,is_active_not_toxic,CellCount,0,0,0_0,0.4908795528793528
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,0,0_0,0.6607500142914309
chemical,is_active_not_toxic,Morphology,0,1,0_1,0.8631568019343987
chemical,is_active_not_toxic,PhysChem,0,1,0_1,0.6863422518923465
chemical,is_active_not_toxic,LogP,0,1,0_1,0.6596054983179144
chemical,is_active_not_toxic,MorganFP,0,1,0_1,0.6553088204373423
chemical,is_active_not_toxic,CLOOME,0,1,0_1,0.6184919049621531
