split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active,Morphology,0,0,0_0,0.8950150578151769
chemical,is_active,PhysChem,0,0,0_0,0.786149738623662
chemical,is_active,LogP,0,0,0_0,0.6447722291911733
chemical,is_active,MorganFP,0,0,0_0,0.7060455785666522
chemical,is_active,CLOOME,0,0,0_0,0.6547391849743993
chemical,is_active,CellCLIP,0,0,0_0,0.7267287201589246
chemical,is_active,CellCount,0,0,0_0,0.8198968161384637
chemical,is_active,MLP_CLOOME_arch,0,0,0_0,0.7727416937967659
chemical,is_active,Morphology,0,1,0_1,0.9225664068924174
chemical,is_active,PhysChem,0,1,0_1,0.7762776065401572
chemical,is_active,LogP,0,1,0_1,0.6656922921850216
chemical,is_active,MorganFP,0,1,0_1,0.6863424882093614
chemical,is_active,CLOOME,0,1,0_1,0.6758038589473573
chemical,is_active,CellCLIP,0,1,0_1,0.7313060685315947
chemical,is_active,CellCount,0,1,0_1,0.8522151546178455
chemical,is_active,MLP_CLOOME_arch,0,1,0_1,0.7057565902905617
chemical,is_active,Morphology,0,2,0_2,0.8883652749877844
chemical,is_active,PhysChem,0,2,0_2,0.7930995168033009
chemical,is_active,LogP,0,2,0_2,0.6445219610185134
chemical,is_active,MorganFP,0,2,0_2,0.7086025299961995
chemical,is_active,CLOOME,0,2,0_2,0.6929746457462402
chemical,is_active,CellCLIP,0,2,0_2,0.7191107009066724
chemical,is_active,CellCount,0,2,0_2,0.8350290460937076
chemical,is_active,MLP_CLOOME_arch,0,2,0_2,0.7614474184266247
chemical,is_active,Morphology,0,3,0_3,0.9165280555847984
chemical,is_active,PhysChem,0,3,0_3,0.7713127697652384
chemical,is_active,LogP,0,3,0_3,0.6275818507211286
chemical,is_active,MorganFP,0,3,0_3,0.6895436361722286
chemical,is_active,CLOOME,0,3,0_3,0.6678334561532794
chemical,is_active,CellCLIP,0,3,0_3,0.7059901042214969
chemical,is_active,CellCount,0,3,0_3,0.8532266554374145
chemical,is_active,MLP_CLOOME_arch,0,3,0_3,0.7241551742288662
