group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CLOOME,CellCLIP,-0.05024179512120808,-0.06371850491955691,-0.03676508532285925,0.001,True,-2.628771421469055,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,CellCount,-0.17479142087396393,-0.18826813067231277,-0.1613147110756151,0.001,True,-9.56042189986892,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,LogP,0.030086796238609437,0.01661008644026061,0.043563506036958265,0.001,True,1.4519814718011466,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,MLP_CLOOME_arch,-0.07417453577873434,-0.08765124557708318,-0.06069782598038551,0.001,True,-3.4443528605649925,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,MorganFP,-0.02714864734231004,-0.04062535714065887,-0.013671937543961211,0.001,True,-1.5603075561657638,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,Morphology,-0.23776186372090224,-0.25123857351925105,-0.2242851539225534,0.001,True,-14.341529884201115,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,PhysChem,-0.10537472983797469,-0.11885143963632352,-0.09189802003962586,0.001,True,-5.008772445432873,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,CellCount,-0.12454962575275585,-0.1380263355511047,-0.11107291595440702,0.001,True,-7.286220243075263,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,LogP,0.08032859135981751,0.06685188156146868,0.09380530115816635,0.001,True,4.081714220734187,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,MLP_CLOOME_arch,-0.023932740657526264,-0.03740945045587509,-0.010456030859177436,0.001,True,-1.1654420344371863,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,MorganFP,0.023093147778898038,0.00961643798054921,0.036569857577246866,0.001,True,1.4302987560477511,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,Morphology,-0.18752006859969417,-0.200996778398043,-0.17404335880134533,0.001,True,-12.29046024208993,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCLIP,PhysChem,-0.05513293471676661,-0.06860964451511545,-0.041656224918417785,0.001,True,-2.754795990370354,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCount,LogP,0.20487821711257337,0.19140150731422453,0.2183549269109222,0.001,True,10.854116720949195,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCount,MLP_CLOOME_arch,0.10061688509522959,0.08714017529688076,0.11409359489357843,0.001,True,5.090483281084012,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCount,MorganFP,0.1476427735316539,0.13416606373330506,0.16111948333000273,0.001,True,9.742365700739457,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCount,Morphology,-0.06297044284693831,-0.07644715264528715,-0.049493733048589485,0.001,True,-4.433113582931507,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CellCount,PhysChem,0.06941669103598924,0.055939981237640414,0.08289340083433808,0.001,True,3.6111450511175858,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
LogP,MLP_CLOOME_arch,-0.10426133201734378,-0.11773804181569261,-0.09078462221899494,0.001,True,-4.730416898989473,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
LogP,MorganFP,-0.057235443580919476,-0.07071215337926831,-0.04375873378257065,0.001,True,-3.1759647349440785,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
LogP,Morphology,-0.2678486599595117,-0.2813253697578605,-0.2543719501611629,0.001,True,-15.545391247945695,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
LogP,PhysChem,-0.13546152607658413,-0.14893823587493296,-0.12198481627823529,0.001,True,-6.284400521229084,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
MLP_CLOOME_arch,MorganFP,0.0470258884364243,0.03354917863807547,0.06050259823477313,0.001,True,2.481360403996339,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
MLP_CLOOME_arch,Morphology,-0.1635873279421679,-0.17706403774051674,-0.15011061814381907,0.001,True,-8.987914498736869,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
MLP_CLOOME_arch,PhysChem,-0.03120019405924035,-0.04467690385758918,-0.01772348426089152,0.001,True,-1.3966846876773602,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
MorganFP,Morphology,-0.2106132163785922,-0.22408992617694104,-0.19713650658024337,0.001,True,-16.141308365703694,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
MorganFP,PhysChem,-0.07822608249566465,-0.09170279229401349,-0.06474937269731582,0.001,True,-4.254919155610072,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
Morphology,PhysChem,0.13238713388292755,0.11891042408457872,0.1458638436812764,0.001,True,7.5177838743216325,False,0.5687167029600877,95.54440609729474,chemical,is_active,25
CLOOME,CellCLIP,-0.0729199534167515,-0.0885564218297209,-0.05728348500378211,0.001,True,-3.3238859441825856,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,CellCount,-0.3166764883545876,-0.332312956767557,-0.3010400199416182,0.001,True,-20.26547263922547,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,LogP,0.028019704757199393,0.012383236344229998,0.04365617317016879,0.001,True,1.2425710090126303,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,MLP_CLOOME_arch,-0.0940426443242488,-0.1096791127372182,-0.07840617591127941,0.001,True,-3.9320047748727713,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,MorganFP,-0.09063459366816184,-0.10627106208113124,-0.07499812525519245,0.001,True,-4.288728906664746,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,Morphology,-0.30814810274268556,-0.32378457115565495,-0.29251163432971616,0.001,True,-19.33087787779667,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,PhysChem,-0.13873763706075293,-0.15437410547372232,-0.12310116864778353,0.001,True,-6.548402428200885,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,CellCount,-0.2437565349378361,-0.2593930033508055,-0.22812006652486672,0.001,True,-15.582766020611269,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,LogP,0.1009396581739509,0.0853031897609815,0.11657612658692029,0.001,True,4.474062153240967,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,MLP_CLOOME_arch,-0.0211226909074973,-0.036759159320466694,-0.005486222494527904,0.0015766770446472567,True,-0.8827650211801189,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,MorganFP,-0.01771464025141034,-0.033351108664379736,-0.0020781718384409453,0.015154264762838654,True,-0.8377594705530841,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,Morphology,-0.23522814932593406,-0.25086461773890345,-0.21959168091296466,0.001,True,-14.741660064955866,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCLIP,PhysChem,-0.06581768364400142,-0.08145415205697082,-0.05018121523103203,0.001,True,-3.104826312532172,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCount,LogP,0.344696193111787,0.3290597246988176,0.3603326615247564,0.001,True,20.903977772472054,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCount,MLP_CLOOME_arch,0.2226338440303388,0.20699737561736942,0.2382703124433082,0.001,True,12.155720569838026,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCount,MorganFP,0.22604189468642577,0.21040542627345638,0.24167836309939517,0.001,True,15.597501316269733,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCount,Morphology,0.008528385611902056,-0.007108082801067339,0.02416485402487145,0.6694175111561891,False,2.037650560364402,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CellCount,PhysChem,0.1779388512938347,0.1623023828808653,0.19357531970680408,0.001,True,12.212878715019936,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
LogP,MLP_CLOOME_arch,-0.1220623490814482,-0.1376988174944176,-0.1064258806684788,0.001,True,-4.984201305744889,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
LogP,MorganFP,-0.11865429842536124,-0.13429076683833063,-0.10301783001239184,0.001,True,-5.448067269870597,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
LogP,Morphology,-0.33616780749988495,-0.35180427591285435,-0.32053133908691556,0.001,True,-20.02469142382417,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
LogP,PhysChem,-0.16675734181795232,-0.18239381023092172,-0.15112087340498292,0.001,True,-7.638607005118324,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,MorganFP,0.0034080506560869583,-0.012228417756882437,0.019044519069056354,0.9,False,0.1469488982858989,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,Morphology,-0.21410545841843676,-0.22974192683140615,-0.19846899000546736,0.001,True,-11.520929017646345,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,PhysChem,-0.044694992736504124,-0.06033146114947352,-0.02905852432353473,0.001,True,-1.923139463555049,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
MorganFP,Morphology,-0.21751350907452371,-0.2331499774874931,-0.20187704066155432,0.001,True,-14.666575846211554,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
MorganFP,PhysChem,-0.04810304339259108,-0.06373951180556048,-0.03246657497962169,0.001,True,-2.3621220540921493,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
Morphology,PhysChem,0.16941046568193263,0.15377399726896324,0.18504693409490203,0.001,True,11.36496171482099,False,0.5626888713937523,94.5317303941504,chemical,is_active_and_toxic,25
CLOOME,CellCLIP,-0.043577126973033176,-0.06947580787489903,-0.017678446071167326,0.001,True,-1.9209634774230444,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,CellCount,-0.00565887757962813,-0.03155755848149398,0.02023980332223772,0.9,False,-0.15435348468987722,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,LogP,-0.052417712934856975,-0.07831639383672283,-0.026519032032991125,0.001,True,-1.8675977979288139,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,MLP_CLOOME_arch,-0.05596537015501368,-0.08186405105687954,-0.030066689253147833,0.001,True,-1.7518155265244992,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,MorganFP,0.016786724856443724,-0.009111956045422125,0.04268540575830958,0.48574935743828795,False,0.533512993623455,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,Morphology,-0.21891198881620288,-0.24481066971806872,-0.19301330791433705,0.001,True,-8.931511434710039,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,PhysChem,-0.08245445833509868,-0.10835313923696453,-0.056555777433232826,0.001,True,-2.8958369294929125,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCLIP,CellCount,0.037918249393405046,0.012019568491539196,0.0638169302952709,0.001,True,1.113593912399002,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCLIP,LogP,-0.0088405859618238,-0.03473926686368965,0.01705809494004205,0.9,False,-0.35998982769400284,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCLIP,MLP_CLOOME_arch,-0.012388243181980507,-0.03828692408384636,0.013510437719885342,0.7940472461999537,False,-0.42846848316425057,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCLIP,MorganFP,0.0603638518294769,0.03446517092761105,0.08626253273134275,0.001,True,2.1270800795783127,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
